"GEO_ID","NAME","P012A001","P012A002","P012A003","P012A004","P012A005","P012A006","P012A007","P012A008","P012A009","P012A010","P012A011","P012A012","P012A013","P012A014","P012A015","P012A016","P012A017","P012A018","P012A019","P012A020","P012A021","P012A022","P012A023","P012A024","P012A025","P012A026","P012A027","P012A028","P012A029","P012A030","P012A031","P012A032","P012A033","P012A034","P012A035","P012A036","P012A037","P012A038","P012A039","P012A040","P012A041","P012A042","P012A043","P012A044","P012A045","P012A046","P012A047","P012A048","P012A049"
"id","Geographic Area Name","Total","Total!!Male","Total!!Male!!Under 5 years","Total!!Male!!5 to 9 years","Total!!Male!!10 to 14 years","Total!!Male!!15 to 17 years","Total!!Male!!18 and 19 years","Total!!Male!!20 years","Total!!Male!!21 years","Total!!Male!!22 to 24 years","Total!!Male!!25 to 29 years","Total!!Male!!30 to 34 years","Total!!Male!!35 to 39 years","Total!!Male!!40 to 44 years","Total!!Male!!45 to 49 years","Total!!Male!!50 to 54 years","Total!!Male!!55 to 59 years","Total!!Male!!60 and 61 years","Total!!Male!!62 to 64 years","Total!!Male!!65 and 66 years","Total!!Male!!67 to 69 years","Total!!Male!!70 to 74 years","Total!!Male!!75 to 79 years","Total!!Male!!80 to 84 years","Total!!Male!!85 years and over","Total!!Female","Total!!Female!!Under 5 years","Total!!Female!!5 to 9 years","Total!!Female!!10 to 14 years","Total!!Female!!15 to 17 years","Total!!Female!!18 and 19 years","Total!!Female!!20 years","Total!!Female!!21 years","Total!!Female!!22 to 24 years","Total!!Female!!25 to 29 years","Total!!Female!!30 to 34 years","Total!!Female!!35 to 39 years","Total!!Female!!40 to 44 years","Total!!Female!!45 to 49 years","Total!!Female!!50 to 54 years","Total!!Female!!55 to 59 years","Total!!Female!!60 and 61 years","Total!!Female!!62 to 64 years","Total!!Female!!65 and 66 years","Total!!Female!!67 to 69 years","Total!!Female!!70 to 74 years","Total!!Female!!75 to 79 years","Total!!Female!!80 to 84 years","Total!!Female!!85 years and over"
"1000000US370630001012017","Block 2017, Block Group 2, Census Tract 1.01, Durham County, North Carolina","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1000000US370630001012020","Block 2020, Block Group 2, Census Tract 1.01, Durham County, North Carolina","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1000000US370630001021021","Block 1021, Block Group 1, Census Tract 1.02, Durham County, North Carolina","28","9","1","0","0","0","0","0","0","0","0","0","4","0","1","1","1","0","0","0","0","0","0","0","1","19","1","0","0","0","0","0","0","1","0","3","3","0","2","2","3","0","1","0","0","0","0","1","2"
"1000000US370630001021023","Block 1023, Block Group 1, Census Tract 1.02, Durham County, North Carolina","30","11","0","0","0","0","0","0","0","0","4","2","0","2","0","1","1","0","0","0","0","0","0","1","0","19","2","1","0","0","0","0","0","2","1","2","1","1","3","3","1","0","0","0","0","0","2","0","0"
"1000000US370630001021026","Block 1026, Block Group 1, Census Tract 1.02, Durham County, North Carolina","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1000000US370630001021008","Block 1008, Block Group 1, Census Tract 1.02, Durham County, North Carolina","35","13","4","0","0","0","1","0","0","1","1","3","0","1","0","0","0","0","2","0","0","0","0","0","0","22","0","4","0","0","0","0","0","3","3","2","1","2","0","0","0","0","2","0","1","0","0","2","2"
"1000000US370630001021002","Block 1002, Block Group 1, Census Tract 1.02, Durham County, North Carolina","42","20","4","2","2","0","1","0","0","0","0","2","3","0","1","0","2","0","0","1","0","0","2","0","0","22","0","3","1","0","0","0","0","1","3","3","1","4","1","1","2","0","0","0","0","0","2","0","0"
"1000000US370630001021010","Block 1010, Block Group 1, Census Tract 1.02, Durham County, North Carolina","27","12","0","2","3","0","0","0","0","0","0","0","2","1","1","1","0","0","0","0","0","0","0","1","1","15","0","1","1","0","0","0","0","0","0","1","2","1","1","3","1","0","0","0","0","0","1","2","1"
"1000000US370630001021028","Block 1028, Block Group 1, Census Tract 1.02, Durham County, North Carolina","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1000000US370630001021027","Block 1027, Block Group 1, Census Tract 1.02, Durham County, North Carolina","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
